Name,Platform,Year_of_Release,Genre,Global_Sales,Critic_Score,Critic_Count,User_Score,Rating
Dynasty Warriors 2,PS2,2000,Action,0.83,75,17,8.8,T
TimeSplitters,PS2,2000,Shooter,0.43,81,23,8,T
Ephemeral Fantasia,PS2,2000,Role-Playing,0.08,48,16,6.3,T
NASCAR 2001,PS2,2000,Racing,0.7,66,16,6.6,E
Chicken Run,PS,2000,Adventure,0.13,75,7,6.2,E
Persona 2: Eternal Punishment,PS,2000,Role-Playing,0.35,83,11,8.4,T
Victorious Boxers: Ippo's Road to Glory,PS2,2000,Fighting,0.47,75,15,8,T
Crash Bash,PS,2000,Misc,3.39,68,12,8.2,E
Surfing H3O,PS2,2000,Sports,0.25,46,15,4.6,E
Disney's The Emperor's New Groove,PS,2000,Platform,0.31,66,8,7.2,E
Star Wars: Demolition,PS,2000,Racing,0.46,63,11,6.5,T
Mobile Suit Gundam: Journey to Jaburo,PS2,2000,Simulation,0.7,58,16,8.1,T
Grandia II,DC,2000,Role-Playing,0.2,90,17,8.8,T
Kengo: Master of Bushido,PS2,2000,Fighting,0.39,62,13,8.4,M
Smuggler's Run,PS2,2000,Racing,1.56,79,21,6.8,T
WinBack: Covert Operations,PS2,2000,Shooter,0.29,66,11,7.7,T
007 Racing,PS,2000,Racing,0.53,51,16,4.6,T
GT Advance 2: Rally Racing,GBA,2001,Racing,0.11,77,12,6,E
The Mummy Returns,PS2,2001,Action,0.5,44,13,7,T
NASCAR Thunder 2002,PS2,2001,Racing,1.16,85,17,8.5,E
4x4 EVO 2,XB,2001,Racing,0.24,59,15,6.2,E
Cossacks: European Wars,PC,2001,Strategy,0.03,74,16,8.6,T
18 Wheeler: American Pro Trucker,PS2,2001,Racing,0.4,61,11,5.7,E
The Legend of Alon D'ar,PS2,2001,Role-Playing,0.08,43,14,6.7,T
Max Payne,PS2,2001,Shooter,3.31,80,21,8.5,M
Earthworm Jim,GBA,2001,Platform,0.29,72,10,5.7,E
Gauntlet: Dark Legacy,PS2,2001,Action,1.15,73,15,8.3,T
World Tour Soccer 2002,PS2,2001,Sports,0.14,77,21,7.5,E
Project Gotham Racing,XB,2001,Racing,2.12,85,35,8.2,E
Kessen II,PS2,2001,Strategy,0.46,71,15,8.3,T
Tony Hawk's Pro Skater 3,GC,2001,Sports,0.82,91,27,9,T
James Bond 007: Agent Under Fire,PS2,2001,Shooter,3.53,72,27,7.9,T
Supercar Street Challenge,PS2,2001,Racing,1.12,57,15,7.6,E
NHL 2002,PS2,2001,Sports,1.2,92,22,8.5,E
Capcom vs. SNK 2: Mark of the Millennium 2001,PS2,2001,Fighting,0.75,81,22,7.9,T
Hidden Invasion,PS2,2001,Shooter,0.08,39,4,5.8,T
Madden NFL 2002,PS2,2001,Sports,3.08,94,23,7.9,E
Time Crisis II,PS2,2001,Shooter,0.53,81,21,7.9,T
Doom,GBA,2001,Shooter,0.14,81,24,8.5,T
Ace Combat 04: Shattered Skies,PS2,2001,Simulation,3.17,89,22,9.1,E
Amped: Freestyle Snowboarding,XB,2001,Sports,0.82,78,30,9,E
Animal Crossing,GC,2001,Simulation,3.15,87,42,8.9,E
Tony Hawk's Pro Skater 2,GBA,2001,Sports,1.18,95,16,7.5,E
Spider-Man 2: Enter: Electro,PS,2001,Action,1.55,74,15,8.7,E
SSX Tricky,XB,2001,Sports,0.43,88,22,8.5,E
All-Star Baseball 2002,PS2,2001,Sports,0.56,77,16,7.6,E
Jonny Moseley Mad Trix,PS2,2001,Sports,0.14,44,14,5.7,T
Formula One 2001,PS2,2001,Racing,0.26,73,18,6,E
ESPN X Games Skateboarding,PS2,2001,Sports,0.36,58,15,7.8,E
Mobile Suit Gundam: Federation vs. Zeon,PS2,2001,Simulation,1.14,73,15,8.8,T
NBA Live 2002,XB,2001,Sports,0.4,76,15,7.5,E
NCAA Football 2002,PS2,2001,Sports,1.57,90,18,8.7,E
PaRappa The Rapper 2,PS2,2001,Misc,0.14,67,26,6.6,E
Spider-Man: Mysterio's Menace,GBA,2001,Action,0.61,84,8,8.7,E
Thunderstrike: Operation Phoenix,PS2,2001,Simulation,0.34,65,15,8.1,T
Harry Potter and the Sorcerer's Stone,PC,2001,Action,0.06,65,11,7.8,E
Shadow Hearts,PS2,2001,Role-Playing,0.28,73,24,8.8,M
Zone of the Enders: The Fist of Mars,GBA,2001,Role-Playing,0.06,71,12,9,E
Zone of the Enders,PS2,2001,Shooter,0.75,78,21,7.4,M
Rumble Racing,PS2,2001,Racing,0.21,85,17,8.2,E
Breath of Fire,GBA,2001,Role-Playing,0.22,79,17,8.8,E
Test Drive Off-Road Wide Open,XB,2001,Racing,0.18,64,21,8.3,E
Crazy Taxi,PS2,2001,Racing,2.52,80,15,7.9,T
Bloody Roar 3,PS2,2001,Fighting,0.35,71,20,8.6,T
Jurassic Park III: Park Builder,GBA,2001,Simulation,0.06,65,5,8,E
Wario Land 4,GBA,2001,Platform,2.26,88,17,8.9,E
Sonic Adventure 2 Battle,GC,2001,Platform,2.56,73,28,8.3,E
FIFA Soccer 2002,PS2,2001,Sports,0.63,82,17,5.8,E
MLB 2002,PS,2001,Sports,0.43,76,5,8.1,E
Giants: Citizen Kabuto,PS2,2001,Shooter,0.06,79,15,6.9,T
City Crisis,PS2,2001,Simulation,0.13,63,20,6.2,E
Rune: Viking Warlord,PS2,2001,Action,0.26,53,16,7.3,M
World's Scariest Police Chases,PS,2001,Racing,0.36,54,16,6.3,T
NFL GameDay 2002,PS2,2001,Sports,0.38,51,18,4.6,E
Crazy Taxi 2,DC,2001,Racing,0.07,82,18,8.1,T
Portal Runner,PS2,2001,Platform,0.13,53,18,6.7,E
Sonic Advance,GBA,2001,Platform,2.24,87,22,8.1,E
Guilty Gear X,PS2,2001,Fighting,0.12,79,15,7.8,T
NHL FaceOff 2001,PS2,2001,Sports,0.2,57,11,4,E
MTV Music Generator 2,PS2,2001,Misc,0.15,77,16,8.5,T
Advance Wars,GBA,2001,Strategy,0.7,92,28,9,E
Arctic Thunder,PS2,2001,Racing,0.36,45,23,5.3,T
Star Wars: Obi-Wan,XB,2001,Action,0.7,58,28,5.9,T
Shrek,XB,2001,Platform,0.36,49,19,5.4,T
Resident Evil - Code: Veronica X,PS2,2001,Action,2.34,84,21,8.4,M
Madden NFL 2002,PS,2001,Sports,1.39,88,9,8,E
Twisted Metal: Black,PS2,2001,Racing,1.41,91,15,8.4,M
NBA Live 2002,PS,2001,Sports,0.52,81,6,8.8,E
F1 2001,XB,2001,Racing,0.06,83,11,5.5,E
SplashDown,PS2,2001,Racing,0.7,84,22,8.2,E
ATV Offroad Fury,PS2,2001,Racing,2.41,82,16,8.4,E
Driven,PS2,2001,Racing,0.15,38,10,3.4,T
Dave Mirra Freestyle BMX 2,PS2,2001,Sports,1.38,81,21,8.1,T
Kabuki Warriors,XB,2001,Action,0.06,32,15,2.5,M
Pac-Man Fever,PS2,2001,Misc,0.51,47,14,6.3,E
Tekken Advance,GBA,2001,Fighting,0.45,82,14,8.2,T
AirForce Delta Storm,XB,2001,Shooter,0.18,61,21,7.1,E
Fear Effect 2: Retro Helix,PS,2001,Action,0.18,84,15,8.9,M
Mobile Suit Gundam: Zeonic Front,PS2,2001,Simulation,0.43,71,12,8.8,T
Spyro: Season of Ice,GBA,2001,Platform,2.23,74,16,8,E
Breath of Fire II,GBA,2001,Role-Playing,0.19,81,16,8.8,E
Cel Damage,XB,2001,Racing,0.12,65,24,8.4,T
Hot Shots Golf 3,PS2,2001,Sports,2.89,85,30,8.9,E
Luigi's Mansion,GC,2001,Action,3.6,78,34,8.5,E
Disney's Tarzan Untamed,GC,2001,Platform,0.18,61,11,7.4,E
Fur Fighters: Viggo's Revenge,PS2,2001,Action,0.14,64,15,7.3,T
Frogger: The Great Quest,PS2,2001,Platform,1.23,32,6,4.6,E
Quake III: Revolution,PS2,2001,Shooter,0.21,84,18,7.2,M
Pac-Man Collection,GBA,2001,Puzzle,2.94,79,13,7.8,E
The Sims: House Party,PC,2001,Simulation,2.16,74,17,7.9,T
Legaia 2: Duel Saga,PS2,2001,Role-Playing,0.26,67,21,8.4,T
Dragon Rage,PS2,2001,Shooter,0.06,50,9,6.4,T
Soldier of Fortune: Gold Edition,PS2,2001,Shooter,0.56,59,14,6.8,M
Mat Hoffman's Pro BMX,PS,2001,Sports,0.54,80,15,8.6,E
Max Payne,XB,2001,Shooter,1.22,89,24,8.3,M
Paris-Dakar Rally,PS2,2001,Racing,0.15,36,6,3.9,E
Devil May Cry,PS2,2001,Action,2.99,94,37,8.5,M
Fuzion Frenzy,XB,2001,Misc,1.21,70,28,6.9,E
Dave Mirra Freestyle BMX 2,XB,2001,Sports,0.2,76,18,8.2,T
MX 2002 Featuring Ricky Carmichael,PS2,2001,Racing,0.56,76,17,8.3,E
Jeremy McGrath Supercross World,PS2,2001,Racing,0.23,35,9,3.4,T
Sonic Adventure 2,DC,2001,Platform,0.12,89,18,8.6,E
FIFA Soccer 2002,GC,2001,Sports,0.18,81,13,8,E
Motocross Mania,PS,2001,Racing,0.79,34,6,5.3,E
Super Monkey Ball,GC,2001,Puzzle,1.46,87,28,7.9,E
Silent Hill 2,PS2,2001,Action,1.28,89,34,8.9,M
Phantasy Star Online Ver. 2,DC,2001,Role-Playing,0.19,80,10,8.9,T
Batman: Vengeance,PS2,2001,Adventure,0.55,68,19,6.7,T
Extermination,PS2,2001,Action,0.55,67,19,7.8,M
NHL 2002,XB,2001,Sports,0.27,89,17,8.8,E
Onimusha: Warlords,PS2,2001,Action,2.7,86,23,8.2,M
SSX Tricky,GC,2001,Sports,0.54,87,20,8.6,E
Okage: Shadow King,PS2,2001,Role-Playing,0.36,70,23,8.5,T
Looney Tunes: Sheep Raider,PS,2001,Platform,0.12,72,12,8.8,E
WarJetz,PS2,2001,Shooter,0.04,59,9,5.5,T
Soul Reaver 2,PS2,2001,Action,0.55,80,22,8.5,M
NBA Street,PS2,2001,Sports,2.79,89,22,8.6,E
Sunny Garcia Surfing,PS2,2001,Sports,0.03,61,11,7.9,E
Batman: Vengeance,GC,2001,Adventure,0.26,70,17,5.8,T
Monster Rancher 3,PS2,2001,Simulation,0.36,77,13,8.5,E
Baldur's Gate: Dark Alliance,PS2,2001,Role-Playing,1.24,87,29,8.3,T
The Simpsons: Road Rage,PS2,2001,Racing,3.61,64,23,7.7,T
Army Men: Sarge's Heroes 2,PS2,2001,Shooter,0.17,54,15,4.6,T
ICO,PS2,2001,Action,0.47,90,59,8.8,T
All-Star Baseball 2002,GC,2001,Sports,0.22,66,17,5.6,E
Time Crisis: Project Titan,PS,2001,Shooter,0.05,71,13,6.7,T
Midnight Club: Street Racing,GBA,2001,Racing,0.48,50,5,5.3,E
Stronghold,PC,2001,Strategy,0.11,81,19,8.9,T
Toy Story Racer,PS,2001,Racing,0.15,76,8,8.7,E
Halo: Combat Evolved,XB,2001,Shooter,6.43,97,68,8.6,M
NFL Quarterback Club 2002,PS2,2001,Sports,0.22,67,12,7.8,E
F1 2001,PS2,2001,Racing,0.15,83,13,8.3,E
Hoshigami: Ruining Blue Earth,PS,2001,Role-Playing,0.05,62,9,8.7,E
Crazy Taxi,GC,2001,Racing,0.49,69,20,7.5,T
Universal Studios Theme Parks Adventure,GC,2001,Misc,0.1,39,11,2.9,T
SSX Tricky,PS2,2001,Sports,1.73,92,33,8.9,E
Star Wars Rogue Leader: Rogue Squadron II,GC,2001,Simulation,1.9,90,45,8.6,T
Spec Ops: Ranger Elite,PS,2001,Shooter,0.87,48,4,6.6,T
Super Smash Bros. Melee,GC,2001,Fighting,7.07,92,38,9.1,T
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,6.05,96,42,8.7,M
Red Faction,PS2,2001,Shooter,1.92,88,25,8,M
Worms World Party,PC,2001,Strategy,0.02,75,8,7.6,E
Yanya Caballista: City Skater,PS2,2001,Sports,0.05,58,13,6.3,E
X-Men: Mutant Academy 2,PS,2001,Fighting,0.72,72,12,8.4,T
Rayman Arena,PS2,2001,Racing,0.6,63,10,8.6,E
Harry Potter and the Sorcerer's Stone,GBA,2001,Action,1.69,64,8,7.1,E
KISS Pinball,PS,2001,Action,0.31,26,7,3.8,T
Mad Dash Racing,XB,2001,Racing,0.15,65,21,7.7,T
Castlevania Chronicles,PS,2001,Platform,0.13,69,16,7,T
Forever Kingdom,PS2,2001,Role-Playing,0.09,64,13,7.8,T
Dave Mirra Freestyle BMX 2,GC,2001,Sports,0.28,78,15,7.7,T
NASCAR Thunder 2002,PS,2001,Racing,0.42,69,8,6.9,E
Half-Life,PS2,2001,Shooter,0.6,87,24,8.6,M
Dave Mirra Freestyle BMX: Maximum Remix,PS,2001,Sports,0.27,67,11,8.1,E
Mario Kart: Super Circuit,GBA,2001,Racing,5.47,93,24,8.3,E
Digimon Rumble Arena,PS,2001,Fighting,0.02,64,5,8.8,E
Super Mario Advance,GBA,2001,Platform,5.49,84,19,7.8,E
Gitaroo Man,PS2,2001,Misc,0.05,82,21,8.7,E
Airblade,PS2,2001,Sports,0.23,70,18,5.8,T
Gallop Racer 2001,PS2,2001,Sports,0.17,71,11,9.1,E
King's Field: The Ancient City,PS2,2001,Role-Playing,0.1,60,14,8.5,T
Shenmue II,DC,2001,Adventure,0.15,88,9,9.4,T
Star Wars: Starfighter,PS2,2001,Simulation,1.76,84,25,8,T
Woody Woodpecker: Escape from Buzz Buzzard Park,PS2,2001,Platform,0.05,64,5,7.4,E
Star Wars: Super Bombad Racing,PS2,2001,Racing,0.16,71,21,4.9,E
Gran Turismo 3: A-Spec,PS2,2001,Racing,14.98,95,54,8.4,E
Mister Mosquito,PS2,2001,Shooter,0.28,65,23,4.9,T
Azurik: Rise of Perathia,XB,2001,Action,0.24,52,26,8.5,T
Namco Museum,PS2,2001,Misc,1.82,72,9,6,E
Star Trek: Voyager Elite Force,PS2,2001,Shooter,0.15,52,12,6.4,T
Grand Theft Auto III,PS2,2001,Action,13.1,97,56,8.5,M
The Sims: Hot Date,PC,2001,Simulation,1.82,85,17,7.9,T
Bass Strike,PS2,2001,Sports,0.28,57,11,5.8,E
Martian Gothic: Unification,PS,2001,Adventure,0.11,64,4,6.1,M
NHL Hitz 20-02,GC,2001,Sports,0.21,79,13,8.7,E
NFL 2K2,PS2,2001,Sports,0.89,85,16,7.5,E
Castlevania: Circle of the Moon,GBA,2001,Platform,0.89,91,22,8.5,T
E.T. The Extra-Terrestrial,GBA,2001,Action,0.01,46,4,2.4,E
Stunt GP,PS2,2001,Racing,0.05,49,8,8.1,E
Kinetica,PS2,2001,Racing,0.32,77,21,8.3,T
Ford Racing,PS,2001,Racing,0.86,53,4,5.8,E
The Simpsons: Road Rage,GC,2001,Racing,0.24,67,16,7.7,T
Dead or Alive 3,XB,2001,Fighting,1.77,87,35,8.6,T
Jade Cocoon 2,PS2,2001,Role-Playing,0.1,76,16,7.8,T
Final Fight One,GBA,2001,Fighting,0.21,82,16,7.8,E
Final Fantasy X,PS2,2001,Role-Playing,8.05,92,53,8.7,T
Empire Earth,PC,2001,Strategy,0.05,81,23,8.2,T
Shaun Palmer's Pro Snowboarder,PS2,2001,Sports,0.73,64,17,8.7,E
Dynasty Warriors 3,PS2,2001,Action,1.87,78,17,9.1,T
IL-2 Sturmovik,PC,2001,Simulation,0.01,91,12,8.8,T
Silent Hill 2: Restless Dreams,XB,2001,Action,0.28,84,23,8.3,M
Mega Man X6,PS,2001,Action,0.42,65,14,6.8,E
Oni,PS2,2001,Action,0.53,69,24,7.8,T
Golden Sun,GBA,2001,Role-Playing,1.76,91,29,9.3,E
Top Gun: Combat Zones,PS2,2001,Simulation,0.92,63,17,3.3,E
Stretch Panic,PS2,2001,Platform,0.05,65,14,7.8,T
Oddworld: Munch's Oddysee,XB,2001,Platform,0.73,80,30,8.7,T
Army Men: Green Rogue,PS2,2001,Action,0.13,39,13,3.8,T
Escape From Monkey Island,PS2,2001,Adventure,0.1,84,21,8.2,T
NBA Live 2002,PS2,2001,Sports,1.86,70,16,7.4,E
Klonoa 2: Lunatea's Veil,PS2,2001,Platform,0.33,91,18,9.1,E
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,5.42,66,22,7.1,E
Pikmin,GC,2001,Strategy,1.63,89,39,8.7,E
Frequency,PS2,2001,Misc,0.19,83,26,9,E
Harry Potter and the Sorcerer's Stone,PS,2001,Action,3.73,64,11,7.5,E
NHL Hitz 20-02,XB,2001,Sports,0.27,79,20,8.7,E
Tactics Ogre: The Knight of Lodis,GBA,2001,Role-Playing,0.5,88,20,9.1,E
Wizardry: Tale of the Forsaken Land,PS2,2001,Role-Playing,0.09,70,14,7.5,T
Final Fantasy Chronicles,PS,2001,Role-Playing,0.52,89,15,9.1,T
Diablo II: Lord of Destruction,PC,2001,Role-Playing,1.06,87,21,9.1,M
MXRider,PS2,2001,Racing,0.34,69,16,6.8,E
Syphon Filter 3,PS,2001,Shooter,0.52,73,19,8.5,M
The Weakest Link,PS,2001,Misc,0.09,63,7,7.2,E
NCAA Final Four 2002,PS2,2001,Sports,0.31,52,14,6.5,E
Tony Hawk's Pro Skater 2x,XB,2001,Sports,0.63,78,24,8.8,T
The Simpsons: Road Rage,XB,2001,Racing,1.05,61,17,8.3,T
Warriors of Might and Magic,PS2,2001,Adventure,0.17,49,12,4.5,T
Namco Museum,GBA,2001,Misc,4.24,79,10,7.3,E
FIFA Soccer 2002,PS,2001,Sports,0.15,81,8,6.4,E
Rayman Advance,GBA,2001,Platform,0.5,84,17,8.4,E
Burnout,PS2,2001,Racing,0.74,79,25,7.7,E
Vampire Night,PS2,2001,Shooter,0.14,65,18,8,T
Disney's Atlantis: The Lost Empire,PS,2001,Platform,0.17,73,7,8.5,E
Le Mans 24 Hours,PS2,2001,Racing,0.2,75,19,7.6,E
Microsoft Train Simulator,PC,2001,Simulation,0.05,84,16,8.4,E
MetropolisMania,PS2,2001,Strategy,0.09,63,5,7.1,T
Darkstone,PS,2001,Role-Playing,0.66,58,10,8.3,T
F-Zero: Maximum Velocity,GBA,2001,Racing,1.04,86,19,8.5,E
Fatal Frame,PS2,2001,Action,0.14,74,22,8.9,T
Rez,PS2,2001,Shooter,0.05,78,34,8.3,E
"Monsters, Inc. Scream Team",PS,2001,Platform,0.56,65,10,6.9,E
Wave Race: Blue Storm,GC,2001,Racing,0.6,80,21,8.3,E
Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,3.64,90,35,8.7,E
Armored Core 2: Another Age,PS2,2001,Simulation,0.41,75,16,8.8,T
Tony Hawk's Pro Skater 3,PS,2001,Sports,1.67,87,10,8.3,E
Metal Slug X,PS,2001,Shooter,0.09,85,9,8.8,T
Mega Man Battle Network,GBA,2001,Role-Playing,0.42,79,10,8.9,E
Spy Hunter,PS2,2001,Racing,1.67,84,28,7.8,T
Casper: Spirit Dimensions,PS2,2001,Platform,0.14,58,7,3.5,E
The Powerpuff Girls: Chemical X-Traction,PS,2001,Action,0.25,30,6,6.3,E
Tony Hawk's Pro Skater 3,PS2,2001,Sports,4.41,97,34,7.5,T
Max Payne,PC,2001,Shooter,0.02,89,32,9.1,M
Shadow of Destiny,PS2,2001,Adventure,0.21,78,18,8.2,T
XGIII: Extreme G Racing,GC,2001,Racing,0.15,83,21,7.8,E
Project Eden,PS2,2001,Action,0.09,71,20,7.8,T
Super Street Fighter II: Turbo Revival,GBA,2001,Fighting,0.25,84,17,7.4,T
Blood Wake,XB,2001,Shooter,0.57,71,30,7.5,T
NFL GameDay 2002,PS,2001,Sports,0.4,62,10,8.8,E
Disney's Tarzan Untamed,PS2,2001,Platform,0.41,59,7,7.1,E
NHL Hitz 20-02,PS2,2001,Sports,0.56,78,18,7.6,E
Dark Angel: Vampire Apocalypse,PS2,2001,Role-Playing,0.09,53,9,5.6,T
Maximo: Ghosts to Glory,PS2,2001,Platform,0.77,84,33,8.7,T
MDK2 Armageddon,PS2,2001,Shooter,0.17,80,19,8.3,T
NHL 2003,GC,2002,Sports,0.13,79,13,6.3,E
Conflict: Desert Storm,PS2,2002,Shooter,1.57,55,10,8.6,T
Aggressive Inline,GC,2002,Sports,0.06,88,16,7.8,T
Tom Clancy's Ghost Recon,XB,2002,Shooter,1.76,84,29,6.1,M
World Series Baseball,XB,2002,Sports,0.23,85,20,8.8,E
State of Emergency,PS2,2002,Action,1.76,71,34,5.7,M
Virtua Striker 2002,GC,2002,Sports,0.05,58,20,6,E
High Heat Major League Baseball 2003,PS2,2002,Sports,0.37,84,23,7.9,E
All-Star Baseball 2003,PS2,2002,Sports,0.77,81,15,8.4,E
V-Rally 3,PS2,2002,Racing,0.06,82,10,7.4,E
Unlimited Saga,PS2,2002,Role-Playing,0.77,45,26,3,T
Knockout Kings 2003,GC,2002,Sports,0.15,78,13,6.5,T
Whirl Tour,GC,2002,Sports,0.05,61,10,9,E
Pro Race Driver,PS2,2002,Racing,0.27,81,22,8.5,T
Reign of Fire,PS2,2002,Shooter,0.27,56,16,7,M
Mystic Heroes,PS2,2002,Action,0.06,67,7,8.6,T
Spyro 2: Season of Flame,GBA,2002,Platform,1.58,76,18,7.6,E
X-Men: Next Dimension,GC,2002,Fighting,0.13,63,17,8.2,T
Star Wars Jedi Knight II: Jedi Outcast,GC,2002,Shooter,0.23,75,17,7.8,T
Superman: The Man of Steel,XB,2002,Action,0.13,44,19,6,T
Sega GT 2002,XB,2002,Racing,0.19,82,24,8.2,E
Ty the Tasmanian Tiger,XB,2002,Platform,0.18,68,13,8.5,E
Disaster Report,PS2,2002,Action,0.21,66,28,8,T
Cabela's Big Game Hunter,PS2,2002,Sports,1.42,59,7,7.8,T
